date ctbill cgbond01 cgbond05 cgbond10 crgdp cngdp ccs ccpi crlend cgbal cggip ccprof cpop chst cgdebt cgrev curate ceempl
1993-12-31 6.09231 7.04 8.11667 8.50667 4.38869 195301.0 136836.0 -0.117141 7.16667 -6.99792 17204.0 11.59775 28907.4 0.0409143 768020.0 81894.0 10.6333 2.067703
1994-03-31 5.63846 7.14667 8.58 8.98333 4.72224 199583.0 137433.0 0.116754 7.25 -5.62673 17857.0 20.98918 29000.7 0.0391752 774464.0 84947.0 10.1333 2.851104
1994-06-30 5.81154 7.35 8.69667 9.09333 5.0303 202072.0 139040.0 0.0387192 7.33333 -5.54159 18079.0 19.1925 29096.4 0.0349116 795310.0 85109.0 9.76667 3.382054
1994-09-30 7.83846 8.39 8.72333 8.96333 4.4621 205346.0 138982.0 1.63678 9.5 -5.19513 18665.0 14.31883 29141.9 0.0298868 831219.0 86514.0 9.63333 3.11271
1994-12-31 7.48385 7.38 7.67 8.11333 2.98839 206553.0 140048.0 2.73651 9.25 -5.29598 19826.0 13.95772 29211.5 0.0270205 848168.0 87271.0 9.5 2.138801
1995-03-31 6.54308 6.95667 7.66 8.09 1.82219 207583.0 141570.0 2.33191 8.08333 -4.62706 19557.0 5.028054 29302.3 0.0271582 864918.0 88506.0 9.43333 1.168701
1995-06-30 6.08538 6.23667 7.06333 7.48 1.49864 209491.0 141617.0 2.05188 7.75 -4.32763 19689.0 5.391378 29396.3 0.028718 851710.0 89027.0 9.3 0.1751388
1995-09-30 5.23538 5.48333 6.67333 7.31667 0.633335 210357.0 143541.0 1.45706 7.0 -3.45936 19564.0 3.819258 29446.9 0.0264164 907059.0 90812.0 9.5 0.1292347
1995-12-31 4.78308 5.49667 7.07667 7.76 1.29944 212523.0 143816.0 1.40793 6.5 -3.30035 19209.0 3.841114 29514.2 0.0311282 900608.0 91029.0 9.43333 0.4568142
1996-03-31 4.24 4.92 6.69667 7.45333 2.05477 215446.0 144412.0 1.40524 5.91667 -2.30452 19022.0 7.450188 29610.2 0.0330953 922199.0 92417.0 9.66667 0.3280191
1996-06-30 3.08231 3.56333 5.47667 6.39 2.451 218697.0 147061.0 2.04855 4.83333 -1.55055 18713.0 6.956784 29708.2 0.0329686 935319.0 93845.0 9.83333 0.1632381
1996-09-30 2.90461 3.65333 5.56667 6.49 3.73836 222198.0 149610.0 2.1542 4.75 -1.09902 18712.0 9.659226 29751.5 0.0355092 942096.0 95523.0 9.43333 0.4290324
1996-12-31 3.02692 3.94333 5.77 6.54 4.18127 224093.0 150906.0 1.57597 4.75 -0.533261 18717.0 7.64453 29818.0 0.0364925 926533.0 98982.0 9.3 0.3419396
1997-03-31 3.09539 4.09667 5.30667 5.94333 4.50914 227392.0 152882.0 1.72285 4.75 -0.441968 18477.0 5.530387 29905.9 0.0384932 920611.0 98898.0 8.86667 1.17098
1997-06-30 3.60714 4.41 5.17 5.59333 4.67829 230219.0 153927.0 1.00373 5.58333 0.583792 18380.0 6.399053 29994.8 0.0369278 935347.0 101128.0 8.76667 2.210389
1997-09-30 4.40333 4.94333 5.17 5.40667 4.76378 232848.0 154015.0 1.10989 6.33333 -0.483148 18844.0 3.371072 30028.5 0.0348384 951243.0 100439.0 8.6 2.190103
1997-12-31 4.69308 5.08333 5.19667 5.34 3.64228 232977.0 155892.0 0.960469 6.5 0.404332 18904.0 0.08425989 30080.2 0.0347281 943910.0 103380.0 8.33333 2.648305
1998-03-31 5.01286 5.31 5.33 5.39 3.36865 233924.0 156786.0 0.736368 6.75 -0.532652 18972.0 -3.001364 30155.2 0.033835 931493.0 101897.0 8.2 2.455342
1998-06-30 4.70385 4.80667 4.78 4.98333 3.77051 237546.0 157253.0 1.14095 6.83333 0.11703 19013.0 -2.721845 30231.6 0.0342722 951175.0 103881.0 8.03333 2.286315
1998-09-30 4.75461 4.94667 5.01 5.09667 4.19031 242956.0 159569.0 0.84157 6.75 1.63775 18681.0 3.055448 30260.1 0.0343823 958769.0 106297.0 7.9 2.57422
1998-12-31 4.49923 4.82333 5.18667 5.32333 5.01964 247687.0 161185.0 1.60996 6.33333 1.13167 18815.0 11.22824 30314.7 0.0375747 944718.0 107956.0 7.9 2.467014
1999-03-31 4.69 5.23333 5.58 5.65667 5.67534 254434.0 163182.0 2.15642 6.25 1.62242 18798.0 20.89827 30401.3 0.037848 925187.0 110754.0 7.5 3.089912
1999-06-30 4.76462 5.55667 6.03667 6.08667 5.74884 259379.0 164743.0 2.36536 6.41667 2.02407 18999.0 21.12392 30492.1 0.0400008 929294.0 112725.0 6.96667 3.313627
1999-09-30 5.03385 5.83 6.31333 6.28667 5.52402 266644.0 166492.0 2.72133 6.75 2.97213 18936.0 19.06005 30525.9 0.0367916 938057.0 116379.0 6.86667 3.172538
1999-12-31 5.52308 6.07333 6.12333 6.01333 5.89179 273952.0 167932.0 2.41268 7.33333 2.82787 18913.0 18.80409 30594.0 0.0361151 933546.0 119744.0 6.66667 4.014104
2000-03-31 5.59923 5.89 5.89 5.78667 5.32084 279495.0 170099.0 2.68337 7.5 2.89093 19054.0 16.47148 30685.7 0.040117 924084.0 120779.0 6.9 3.362298
2000-06-30 5.60769 5.75333 5.64667 5.61667 4.02963 282289.0 170510.0 3.12833 7.5 2.33697 19874.0 12.58001 30784.0 0.0389465 933168.0 120891.0 6.9 3.453051
2000-09-30 5.00769 4.84 5.13 5.38333 2.92825 286497.0 171886.0 2.71988 7.08333 1.05237 19256.0 12.40955 30824.4 0.0382074 962669.0 120994.0 7.0 3.219222
2000-12-31 4.37462 4.46333 5.32667 5.71667 1.97909 287211.0 172200.0 3.58649 6.33333 2.37665 18266.0 7.368217 30911.0 0.0418145 933961.0 122888.0 7.1 2.28882
2001-03-31 3.87769 3.91 5.07 5.54333 0.882828 283677.0 172667.0 2.68294 5.66667 0.0373664 18129.0 -3.467931 31020.6 0.0395323 964871.0 116886.0 7.16667 2.006934
2001-06-30 2.37077 2.47667 4.51333 5.27333 1.32091 283120.0 174816.0 1.06859 4.16667 -0.959311 17879.0 -5.306188 31130.0 0.0434434 974323.0 115724.0 7.63333 1.310248
2001-09-30 2.00692 2.61 4.76667 5.44333 2.29807 288631.0 177485.0 1.54746 3.75 -0.539097 17063.0 -6.939098 31171.1 0.0501763 970751.0 116426.0 7.93333 1.604666
2001-12-31 2.49154 3.32667 4.95667 5.56 2.6163 295386.0 179746.0 1.32383 4.08333 0.446196 16887.0 -0.5688708 31254.2 0.0506795 971896.0 118905.0 7.7 2.148221
2002-03-31 2.80385 3.11 4.31333 5.1 3.59125 299977.0 180113.0 2.40923 4.5 0.144011 16718.0 9.730423 31358.4 0.0511552 993952.0 120198.0 7.5 2.901888
2002-06-30 2.72385 2.99333 4.27 5.06333 3.53038 305458.0 181950.0 3.81995 4.5 0.654755 16678.0 14.70133 31450.4 0.0533932 993939.0 123858.0 7.53333 3.001196
2002-09-30 2.82846 3.26667 4.24333 4.99 2.5726 311419.0 182766.0 4.40234 4.58333 0.739518 16627.0 18.40844 31480.0 0.0522699 996404.0 125667.0 7.4 3.068785
2002-12-31 3.16077 3.30333 3.92333 4.67 1.83994 308325.0 184260.0 2.74704 5.0 -0.586394 16419.0 8.341874 31549.9 0.0511807 1005070.0 122826.0 7.66667 2.338439
2003-03-31 2.80692 2.81333 3.88 4.78 1.33841 313475.0 185866.0 2.15378 4.66667 0.704043 16331.0 6.833298 31641.6 0.0583133 993131.0 126817.0 7.76667 1.42765
2003-06-30 2.645 2.76333 4.05333 4.80333 1.47123 317096.0 186070.0 1.70825 4.5 0.737316 16274.0 5.243285 31734.8 0.0572144 1001590.0 128455.0 7.46667 1.838374
2003-09-30 2.20846 2.23667 3.53667 4.43333 1.64291 322922.0 188415.0 0.908172 4.16667 1.20679 16273.0 1.61712 31775.4 0.0546413 1030670.0 130554.0 7.33333 1.603573
2003-12-31 1.98154 2.39333 3.92667 4.77 2.99753 330886.0 189226.0 2.21719 3.75 1.42768 16133.0 9.749614 31844.9 0.0590076 1019740.0 131913.0 7.16667 1.790931
2004-03-31 2.14846 2.66667 3.93667 4.66 3.83067 336738.0 191024.0 1.94616 3.83333 2.23052 15890.0 11.05423 31938.0 0.0609031 1011300.0 134759.0 7.0 1.79968
2004-06-30 2.53846 2.83333 3.83667 4.45 3.86387 340632.0 192626.0 2.29331 4.25 1.84598 15741.0 12.55824 32037.4 0.0595704 1014040.0 135762.0 7.13333 1.455703
2004-09-30 2.46385 2.78333 3.65333 4.27667 3.47205 343930.0 195371.0 2.18582 4.25 2.73195 15647.0 10.66046 32075.3 0.0508941 1049340.0 139216.0 6.93333 1.117099
2004-12-31 2.46077 2.78667 3.43333 4.03 2.99089 348717.0 197080.0 1.85004 4.25 2.64971 15728.0 7.244717 32141.2 0.0593062 1070050.0 141285.0 6.86667 0.9380613
2005-03-31 2.65846 3.01667 3.41 3.89667 3.03344 358127.0 198434.0 2.57716 4.33333 2.50219 15711.0 10.46151 32242.4 0.0576177 1072190.0 142778.0 6.7 1.185249
2005-06-30 3.15923 3.64667 3.84667 4.06667 3.31221 366254.0 200336.0 2.30498 4.83333 3.07601 15671.0 12.28617 32352.2 0.0573491 1074740.0 146405.0 6.53333 1.087379
2005-09-30 3.59769 3.93667 4.03 4.13333 3.78629 367883.0 203124.0 2.54797 5.33333 2.99171 15628.0 9.742524 32394.6 0.0592489 1085970.0 148885.0 6.46667 1.284821
2005-12-31 4.08615 4.28333 4.29 4.42 3.10243 371580.0 204915.0 2.5368 5.91667 3.35298 15698.0 8.351562 32470.5 0.0580297 1080880.0 151083.0 6.16667 2.306419
2006-03-31 4.16154 4.27667 4.14 4.25333 2.13202 375168.0 207056.0 1.61287 6.0 2.86538 15708.0 2.302445 32570.5 0.0547722 1084250.0 151350.0 6.4 2.311937
2006-06-30 4.16846 4.14333 3.93 4.02667 1.51187 377576.0 209130.0 1.3889 6.0 3.25312 15773.0 -2.410116 32679.0 0.0564014 1112820.0 154633.0 6.13333 2.461423
2006-09-30 4.16846 4.19 4.00667 4.09667 1.3559 385756.0 210778.0 1.84048 6.0 2.48551 15346.0 1.410708 32716.6 0.0552572 1125460.0 152984.0 6.16667 2.63469
2006-12-31 4.22154 4.44 4.34667 4.35667 2.28474 393093.0 213908.0 2.10751 6.0 3.68437 15623.0 4.214944 32785.1 0.0576513 1093710.0 160566.0 6.1 1.437447
