date crs
1997-12-31 5.222301
1998-03-31 4.013092
1998-06-30 1.547158
1998-09-30 5.450376
1998-12-31 2.897661
1999-03-31 3.676951
1999-06-30 4.487123
1999-09-30 4.057483
1999-12-31 4.753707
2000-03-31 6.01157
2000-06-30 4.206827
2000-09-30 2.942922
2000-12-31 3.645819
2001-03-31 0.751309
2001-06-30 4.812648
2001-09-30 6.110637
2001-12-31 4.663311
2002-03-31 4.895172
2002-06-30 2.666365
2002-09-30 0.9363578
2002-12-31 2.231862
2003-03-31 3.884663
2003-06-30 2.487538
2003-09-30 8.117242
2003-12-31 6.340841
2004-03-31 6.638647
2004-06-30 8.299717
2004-09-30 4.316516
2004-12-31 4.75851
2005-03-31 3.588887
2005-06-30 2.957704
2005-09-30 3.655796
2005-12-31 5.089673
2006-03-31 5.958055
2006-06-30 5.853586
2006-09-30 4.279659
2006-12-31 5.270513
2007-03-31 4.568446
2007-06-30 4.999003
2007-09-30 5.906201
2007-12-31 4.067224
2008-03-31 3.01558
2008-06-30 -1.026753
2008-09-30 -3.824973
2008-12-31 -3.1228
2009-03-31 -1.415811
2009-06-30 1.619145
2009-09-30 5.194991
2009-12-31 4.424693
2010-03-31 4.030036
2010-06-30 4.476228
2010-09-30 1.596426
2010-12-31 1.917543
2011-03-31 1.285336
2011-06-30 1.896302
2011-09-30 2.793506
2011-12-31 1.810561
2012-03-31 1.950988
2012-06-30 0.8240597
2012-09-30 1.288474
2012-12-31 3.344177
2013-03-31 4.104727
2013-06-30 4.500732
2013-09-30 3.923553
2013-12-31 4.126955
2014-03-31 4.271602
2014-06-30 4.181468
2014-09-30 2.731795
2014-12-31 2.291189
2015-03-31 2.053764
2015-06-30 1.926984
2015-09-30 5.209379
2015-12-31 3.274484
2016-03-31 2.857615
2016-06-30 4.433987
2016-09-30 4.270808
2016-12-31 6.686283
2017-03-31 5.867981
2017-06-30 4.798631
2017-09-30 3.337
