date t365 i365 t730 i730 t1095 i1095 t1460 i1460 t1825 i1825 t2555 i2555 t3650 i3650 t4380 i4380 t5475 i5475 t7300 i7300 t10950 i10950
20041101 324 0.04874244089 688 0.04856059226 1052 0.04888974575 1463 0.04971251413 1827 0.04993865248 2556 0.05031051599 3654 0.050490189 4383 0.0503671572 5478 0.0499413817 7305 0.04905729469 10957 0.04693507435 
20041102 323 0.04929243915 687 0.04943389784 1051 0.04983715236 1462 0.05039069189 1826 0.05059821575 2556 0.05086039555 3653 0.05097632238 4383 0.05083147169 5480 0.05034180614 7307 0.04939191745 10957 0.04711287864 
20041103 322 0.04938261549 686 0.04948953429 1050 0.04983041242 1461 0.05038867662 1826 0.05056331562 2556 0.05080483928 3652 0.05090032771 4383 0.05071755706 5479 0.05023186364 7306 0.04925564779 10957 0.04690392607 
20041104 321 0.04918456013 685 0.04917381081 1140 0.04952415556 1461 0.04990249476 1826 0.05005752203 2556 0.05024573386 3652 0.05028565995 4383 0.05010766866 5478 0.04962756908 7305 0.04868963084 10959 0.04635239693 
20041105 320 0.0496028164 775 0.04985788073 1139 0.05019428394 1461 0.05057966041 1826 0.05070085417 2558 0.05085390908 3652 0.0508709836 4385 0.05073211315 5478 0.05018039936 7305 0.04912490736 10958 0.04659611461 
20041108 408 0.04959637034 772 0.04970910796 1136 0.04999915185 1463 0.05048489203 1827 0.05060524945 2556 0.05070097335 3654 0.05071784678 4383 0.05054154014 5478 0.04992513635 7305 0.04885128273 10957 0.04634233928 
20041109 407 0.04950698746 771 0.04959212869 1135 0.04983285355 1462 0.05019590528 1826 0.05032983079 2556 0.05042826908 3653 0.05041385301 4383 0.05023888903 5480 0.04966603247 7307 0.04862121561 10957 0.04611301065 
20041110 406 0.04894314397 770 0.04894484779 1134 0.04923489115 1461 0.04981794349 1826 0.05007963742 2556 0.0503732211 3652 0.05046195457 4383 0.05031781943 5479 0.04982983998 7306 0.04888377981 10957 0.04653408312 
20041111 405 0.04855279139 769 0.0484703874 1133 0.04875445587 1461 0.04935176634 1826 0.04955870546 2556 0.04984415345 3652 0.04996871185 4383 0.04985083799 5478 0.04943091699 7305 0.04852511513 10959 0.04625704901 
20041112 404 0.04834842738 768 0.04821147536 1132 0.04848375896 1461 0.04901869444 1826 0.04917224555 2558 0.04941496827 3652 0.0494747622 4385 0.04937321421 5478 0.04895745483 7305 0.04808788778 10958 0.04591340897 
20041115 401 0.04813967018 765 0.04793695718 1129 0.048202921 1463 0.04885764406 1827 0.04903168469 2556 0.04927269377 3654 0.04936502725 4383 0.04924944582 5478 0.04880612071 7305 0.0479684094 10957 0.04579259471 
20041116 400 0.04834585708 764 0.04823294944 1128 0.04853114583 1462 0.04890895773 1826 0.04906511846 2556 0.04921954925 3653 0.04926143762 4383 0.04916290042 5480 0.04875026278 7307 0.04791411569 10957 0.04574174384 
20041117 399 0.04841441404 763 0.04841218486 1127 0.04874368208 1461 0.04914146308 1826 0.04929638713 2556 0.04947286944 3652 0.04951296651 4383 0.04937464591 5479 0.04889514883 7306 0.04803490264 10957 0.04570167849 
20041118 398 0.04871670072 762 0.04884141753 1126 0.04919409611 1461 0.04966467245 1826 0.04981771158 2556 0.05000382866 3652 0.05000637254 4383 0.04984182208 5478 0.04932157351 7305 0.04838892423 10959 0.04589442638 
20041119 397 0.04871886733 761 0.04881908707 1125 0.04910740439 1461 0.04953972734 1826 0.0496611493 2558 0.0497924789 3652 0.04971567497 4385 0.049542688 5478 0.04904158994 7305 0.04804127455 10958 0.04557375647 
20041122 394 0.04851334453 758 0.04848641429 1122 0.04872320618 1463 0.04915927529 1827 0.0492927333 2556 0.04941419869 3654 0.04933741363 4383 0.04920432835 5478 0.04872956006 7305 0.04777245124 10957 0.04538540749 
20041123 393 0.04818476853 757 0.04809013254 1121 0.04832750598 1462 0.04884779868 1826 0.04900208343 2556 0.04915475872 3653 0.04919579607 4383 0.04905800795 5480 0.04857932002 7307 0.04764806522 10957 0.04528810083 
20041124 392 0.04809031154 756 0.04798390157 1120 0.04822559044 1461 0.04869571285 1826 0.0488506043 2556 0.04902731397 3652 0.04906664796 4383 0.04892892973 5479 0.04845086211 7306 0.04752085576 10957 0.04518134494 
20041125 391 0.04759587494 755 0.04745466645 1119 0.04770803526 1461 0.04825574081 1826 0.04840949964 2556 0.0486416273 3652 0.04871370768 4383 0.04857424899 5478 0.04812223637 7305 0.0472340035 10959 0.04492462622 
20041126 390 0.04740437746 754 0.04713982282 1118 0.0473672433 1461 0.04801236598 1826 0.04818707769 2558 0.04848509985 3652 0.04872098473 4385 0.04861318103 5478 0.04822054076 7305 0.04734740434 10958 0.0451844088 
20041129 387 0.04732758196 751 0.04708812617 1115 0.04735722851 1460 0.04796228603 1827 0.04822439956 2556 0.04865544581 3651 0.04891956908 4383 0.04885987087 5478 0.04854158231 7305 0.04775643228 10957 0.04572290006 
20041130 386 0.04759176747 750 0.04745245953 1114 0.0477087359 1459 0.04806408473 1826 0.04825337523 2556 0.04860034646 3650 0.04881350122 4383 0.04877092967 5477 0.04841636748 7304 0.04768406219 10957 0.04568484579 
20041201 385 0.04806952816 749 0.04806819904 1113 0.04827681207 1461 0.04863819429 1826 0.0487620666 2556 0.0489761174 3652 0.04913481538 4383 0.04905812581 5479 0.04864080737 7306 0.04781574685 10957 0.04572239788 
20041202 384 0.04828663805 748 0.04838490464 1112 0.04863555098 1461 0.04909374716 1826 0.04930309655 2556 0.0495675537 3652 0.04972216461 4383 0.04964257412 5478 0.04918058558 7305 0.04835274416 10959 0.04616119666 
20041203 383 0.04809427777 747 0.04808179928 1111 0.04830251626 1461 0.04874339642 1826 0.04892071594 2558 0.0491866622 3652 0.04934186359 4385 0.04930193661 5478 0.04888035191 7305 0.04808030415 10958 0.04605605215 
20041206 380 0.04777667081 744 0.0476173814 1108 0.04782086543 1463 0.04831846139 1827 0.04847386409 2556 0.04871857392 3654 0.04887526858 4383 0.04882317224 5478 0.0484041395 7305 0.04765198762 10957 0.04563179815 
20041207 379 0.04760589522 743 0.0474090195 1107 0.04761622143 1462 0.04804619416 1826 0.04822462525 2556 0.04849165849 3653 0.0486471701 4383 0.04860822156 5480 0.04821607169 7307 0.04749210898 10957 0.04560306117 
20041208 378 0.04762838101 742 0.04740618916 1106 0.04754735534 1461 0.04790998348 1826 0.0480460079 2556 0.04822642826 3652 0.0483873699 4383 0.04837625181 5479 0.04802592581 7306 0.04730110121 10957 0.04549924161 
20041209 377 0.04750396421 741 0.04717266849 1105 0.04726067785 1461 0.04764016765 1826 0.04776584 2556 0.04801459209 3652 0.0481747662 4383 0.04816290193 5478 0.04788009223 7305 0.04725288839 10959 0.04571744521 
20041210 376 0.04765007828 740 0.04738015356 1104 0.04743241646 1461 0.0478395529 1826 0.04794294363 2558 0.04815877643 3652 0.04826199903 4385 0.0482519098 5478 0.04799823979 7305 0.04741390899 10958 0.04586894107 
