date utbill ugbond05 ugbond10 urgdp ungdp ucpi ugbal uggip ucprof upop uhpi uhst ucrepi ugdebt ugrev uurate
1993-12-31 4.1 6.66667 7.08333 4.23309 1817.45 2.38258 -4.25543 96.9 18.66903 262734.0 101.993264769 366.667 2.262636 6092.87 522.175 6.2
1994-03-31 4.60667 6.95667 7.33333 4.33958 1838.07 2.85515 -4.43724 98.975 21.94424 263529.0 102.705720231 363.583 3.624639 6159.79 528.85 6.0
1994-06-30 5.43667 7.63333 7.83667 4.13321 1869.18 2.60333 -4.47445 101.75 15.58305 264313.0 103.2249347 368.0 4.521941 6252.73 536.925 5.63333
1994-09-30 5.91667 7.39333 7.48333 3.4745 1886.32 2.84028 -4.40953 105.05 14.28818 265099.0 103.684155631 331.0 3.338774 6308.09 546.375 5.46667
1994-12-31 5.77667 6.4 6.62 2.43589 1901.22 3.09538 -4.49111 107.275 14.01158 265890.0 103.94163863 321.833 2.577024 6350.02 552.575 5.66667
1995-03-31 5.53 6.08333 6.32333 2.70733 1926.62 2.66401 -4.23799 108.225 13.26547 266674.0 104.4608531 353.833 2.387619 6345.11 558.625 5.66667
1995-06-30 5.41667 5.68667 5.89333 2.27506 1949.88 2.62629 -3.74294 108.4 10.84301 267450.0 105.095934919 354.333 1.710287 6392.52 565.175 5.56667
1995-09-30 5.07 5.57 5.91 2.59544 1973.28 2.78392 -3.67975 108.3 15.67625 268214.0 105.5937783 365.167 1.758697 6464.08 577.975 5.53333
1995-12-31 5.15667 6.49 6.72 4.02387 2015.38 2.82708 -3.12304 107.425 13.37783 268982.0 106.36197883 373.917 2.370386 6447.38 594.65 5.5
1996-03-31 5.24333 6.54333 6.78 4.09451 2039.75 2.90011 -2.86145 108.2 8.766587 269778.0 107.014183269 375.333 -0.3483284 6506.63 599.75 5.26667
1996-06-30 5.11 6.10333 6.34333 4.45375 2071.77 3.23143 -2.50849 108.425 9.836734 270602.0 107.6021457 354.25 -0.2277457 6547.87 615.025 5.33333
1996-09-30 5.19667 6.35667 6.56333 4.56289 2100.52 2.94493 -2.20116 108.5 8.635708 271431.0 108.430339769 358.167 11.56932 6633.12 624.125 5.23333
1996-12-31 5.19 6.57 6.69667 4.31933 2137.98 2.30179 -1.89246 109.05 9.764524 272248.0 109.284410881 369.0 10.48717 6488.59 634.95 5.0
1997-03-31 5.18333 6.13 6.24333 4.67874 2172.95 2.22505 -1.33917 109.275 13.47572 273056.0 110.22422383 364.417 15.81082 6454.48 649.05 4.86667
1997-06-30 5.23 5.83333 5.90667 4.38771 2197.07 1.89075 -1.29425 109.025 8.695654 273854.0 111.55875822 383.0 22.70622 6529.93 656.85 4.66667
1997-09-30 5.19 5.50667 5.58667 4.62346 2222.43 1.48258 -0.584024 108.175 -3.208427 274653.0 113.36551643 389.667 17.75503 6486.39 668.55 4.63333
1997-12-31 5.11333 5.58667 5.59667 4.06766 2248.68 1.58331 -0.605701 107.35 -6.121021 275457.0 115.09065253 393.083 18.53593 6435.03 678.0 4.4
1998-03-31 4.95667 5.11667 5.20333 4.10464 2286.62 1.59621 -0.308271 106.575 -8.895358 276256.0 116.91878183 407.833 16.83718 6592.97 689.4 4.53333
1998-06-30 4.36667 4.39 4.67 4.99897 2331.43 1.52574 -0.224123 104.875 -10.0171 277050.0 118.7511596 430.583 11.00323 6481.34 701.75 4.43333
1998-09-30 4.52667 4.88333 4.98333 4.80072 2361.77 1.68723 -0.0385092 103.175 4.168214 277851.0 120.673656419 427.333 4.417476 6500.59 710.325 4.3
1998-12-31 4.58667 5.44333 5.54 4.64963 2389.25 2.11244 0.00749189 102.9 3.775455 278652.0 122.823639469 393.583 2.659859 6348.32 718.35 4.26667
1999-03-31 4.79333 5.77333 5.88333 4.5982 2428.07 2.34644 0.105701 101.85 0.7378259 279441.0 125.2139829 412.667 1.944088 6467.7 731.2 4.23333
1999-06-30 5.20333 6.06333 6.14 4.69471 2481.52 2.61983 0.0142856 102.025 4.343978 280216.0 127.72444215 413.667 3.021937 6363.02 748.225 4.06667
1999-09-30 5.69667 6.58667 6.48 4.16698 2507.75 3.25781 1.19665 101.75 -4.618858 281018.0 130.470498345 414.75 0.174352 6330.68 775.0 4.03333
1999-12-31 5.89 6.41667 6.17667 5.26646 2569.57 3.2938 0.9436 101.65 -5.122067 281824.0 133.475324955 396.667 2.103542 6234.76 783.175 3.93333
2000-03-31 6.2 6.05667 5.89333 4.08319 2589.35 3.46891 0.809914 101.125 -5.297854 282565.0 136.191770605 375.917 9.188347 6201.81 787.05 4.0
2000-06-30 6.19667 5.55 5.56667 2.88883 2618.07 3.4435 0.52298 101.275 -8.605416 283241.0 139.38842205 386.0 11.18707 6363.11 792.925 3.9
2000-09-30 4.94667 4.79667 5.05 2.29952 2627.02 3.40976 0.180404 101.425 -7.431845 283929.0 142.24648335 401.25 13.27128 6630.81 802.325 4.23333
2000-12-31 3.74667 4.83333 5.27 0.935471 2659.6 3.3249 -0.572332 100.0 -2.371341 284643.0 144.451825245 407.5 12.73339 6465.92 800.65 4.4
2001-03-31 3.24 4.48333 4.98 0.494921 2659.88 2.6782 -2.6616 98.5 -4.318123 285326.0 146.9712964 399.917 3.198726 6808.62 747.475 4.83333
2001-06-30 1.94333 4.09 4.77 0.205064 2675.32 1.8749 -2.29897 96.75 0.4249684 285978.0 149.176638295 392.5 -3.143995 6825.94 772.75 5.5
