date vix
1993-12-31 14.6869
1994-03-31 12.6757
1994-06-30 15.2623
1994-09-30 12.0077
1994-12-31 12.1985
1995-03-31 12.4469
1995-06-30 12.8731
1995-09-30 15.3554
1995-12-31 16.3754
1996-03-31 16.7708
1996-06-30 17.1308
1996-09-30 19.9039
1996-12-31 19.9223
1997-03-31 22.4246
1997-06-30 27.1354
1997-09-30 21.4508
1997-12-31 21.7031
1998-03-31 29.1069
1998-06-30 30.0492
1998-09-30 27.2285
1998-12-31 24.4423
1999-03-31 23.0354
1999-06-30 22.8271
1999-09-30 23.15
1999-12-31 24.9231
2000-03-31 19.1931
2000-06-30 26.0546
2000-09-30 25.7454
2000-12-31 23.9762
2001-03-31 25.7315
2001-06-30 27.8231
2001-09-30 21.3969
2001-12-31 21.6231
2002-03-31 34.9377
2002-06-30 30.7931
2002-09-30 29.9608
2002-12-31 21.6708
2003-03-31 19.2285
2003-06-30 17.5415
2003-09-30 16.6885
2003-12-31 16.2654
2004-03-31 15.5261
2004-06-30 13.615
2004-09-30 12.7258
2004-12-31 13.5154
2005-03-31 12.2357
2005-06-30 12.7346
2005-09-30 12.0385
2005-12-31 14.5215
2006-03-31 13.6054
2006-06-30 11.0231
2006-09-30 12.4785
2006-12-31 13.72
2007-03-31 21.5331
2007-06-30 22.0454
2007-09-30 26.0892
2007-12-31 20.6685
2008-03-31 24.4585
2008-06-30 58.6762
2008-09-30 44.92
2008-12-31 33.6631
2009-03-31 25.5085
2009-06-30 23.2623
2009-09-30 20.3308
2009-12-31 25.6523
2010-03-31 24.7615
2010-06-30 19.4993
2010-09-30 18.655
2010-12-31 17.4461
2011-03-31 29.7543
2011-06-30 29.8831
2011-09-30 18.2838
2011-12-31 20.0354
2012-03-31 16.2092
2012-06-30 16.7854
2012-09-30 13.6108
2012-12-31 14.8392
2013-03-31 14.2977
2013-06-30 14.2446
2013-09-30 14.7823
2013-12-31 12.7892
2014-03-31 12.9138
2014-06-30 15.97
2014-09-30 16.6308
2014-12-31 13.6446
2015-03-31 19.0154
2015-06-30 17.4277
2015-09-30 20.63
2015-12-31 15.3677
2016-03-31 13.5714
2016-06-30 14.0562
2016-09-30 11.7015
2016-12-31 11.4639
2017-03-31 10.9662
2017-06-30 10.3054
2017-09-30 13.367
