date wrgdp woil wgold wcopp walum wgas wfood
1993-12-31 10160500.0 16.06 381.44 2145.4 1337.89 1.95333 92.751
1994-03-31 10255200.0 16.7967 385.807 2457.05 1507.18 1.70333 93.5935
1994-06-30 10341300.0 16.5367 384.483 2773.22 1820.26 1.60333 97.1039
1994-09-30 10403400.0 16.89 379.103 2932.97 1919.21 1.54333 99.194
1994-12-31 10480500.0 18.1033 387.937 2886.72 1794.59 1.62667 98.7511
1995-03-31 10573500.0 16.2167 384.31 3011.53 1839.96 1.54667 105.588
1995-06-30 10626200.0 16.9667 385.297 2905.46 1663.16 2.17333 109.137
1995-09-30 10713200.0 18.5667 400.14 2573.12 1599.09 3.42667 111.659
1995-12-31 10831100.0 19.5033 390.017 2482.16 1556.83 2.32 118.08
1996-03-31 10921800.0 20.9033 384.653 1981.67 1445.36 2.11667 112.042
1996-06-30 11018000.0 23.5667 375.973 2148.12 1426.7 3.07333 103.342
1996-09-30 11107100.0 21.1733 351.163 2423.2 1595.48 2.47333 108.785
1996-12-31 11240400.0 18.0533 343.023 2503.89 1583.11 2.15667 104.546
1997-03-31 11343800.0 18.5067 323.643 2270.67 1637.36 2.5 98.3784
1997-06-30 11435300.0 18.74 306.55 1914.95 1581.38 2.79667 99.7718
1997-09-30 11489400.0 14.12 294.177 1703.72 1464.73 2.18333 97.7736
1997-12-31 11546100.0 13.3667 299.903 1726.62 1362.73 2.24333 96.5692
1998-03-31 11623700.0 12.4433 288.653 1642.2 1321.87 2.01 90.2396
1998-06-30 11715500.0 11.1867 293.91 1546.23 1283.94 1.91 90.6339
1998-09-30 11766600.0 11.2967 286.803 1407.14 1196.38 1.80667 84.5528
1998-12-31 11849400.0 15.46 273.457 1466.36 1307.21 2.23333 77.7263
1999-03-31 11980900.0 20.6133 259.17 1681.82 1443.02 2.54667 75.296
1999-06-30 12141100.0 24.0167 295.657 1738.3 1499.5 2.48 75.3284
1999-09-30 12277200.0 26.9267 290.19 1789.82 1638.71 2.62 77.0944
1999-12-31 12429700.0 26.7667 280.203 1741.44 1479.11 3.63 76.7704
2000-03-31 12513200.0 30.6733 276.58 1873.55 1564.77 4.47667 73.557
